PID,Section,Name,Fine
1,3.5,facilisi cras non velit nec nisi,6159.51
2,0.8.1,pede venenatis non,4911.39
3,0.24,fusce lacus purus aliquet at feugiat,743.31
4,9.7.7,eu felis fusce posuere,2354.35
5,5.0,sagittis nam congue risus semper,8896.62
6,9.5,in ante vestibulum ante,6566.57
7,0.3.6,ut at dolor,7769.21
8,0.38,potenti nullam porttitor lacus at,4634.17
9,1.0.8,ac diam cras,3032.65
10,7.7.9,condimentum neque sapien placerat ante nulla,9304.55
11,0.13,in hac habitasse platea,122.13
12,7.77,dignissim vestibulum vestibulum ante ipsum primis,1869.20
13,3.0,turpis donec posuere metus vitae ipsum,4284.29
14,0.41,eu magna vulputate luctus cum,3185.66
15,5.6,lectus aliquam sit amet diam in,5233.27
16,2.8.6,maecenas tristique est et tempus semper,8176.53
17,3.76,natoque penatibus et magnis dis,9141.24
18,8.58,amet nunc viverra dapibus,5994.39
19,3.50,sociis natoque penatibus et magnis dis,4185.47
20,1.34,erat id mauris vulputate elementum nullam,6829.73
21,5.5.5,auctor sed tristique in,6101.59
22,0.87,vel enim sit amet,6208.27
23,9.6.2,faucibus orci luctus et,801.76
24,4.40,vel pede morbi porttitor,7784.15
25,6.2,quam pharetra magna ac consequat,5469.05
26,1.0.9,montes nascetur ridiculus,6848.85
27,0.6.5,nisi volutpat eleifend donec,5611.13
28,9.4.8,vivamus vestibulum sagittis sapien cum sociis,6419.12
29,8.86,sed interdum venenatis turpis enim blandit,7470.92
30,0.1.9,penatibus et magnis dis parturient montes,4088.27
31,9.37,fusce congue diam id ornare imperdiet,9444.67
32,0.30,potenti nullam porttitor lacus,8562.03
33,0.49,donec posuere metus vitae,6503.72
34,0.20,posuere felis sed lacus morbi sem,2637.83
35,2.9,maecenas ut massa quis augue,4679.58
36,0.9.3,ipsum primis in faucibus orci luctus,4218.35
37,7.6,purus eu magna vulputate luctus cum,5383.26
38,0.1.8,vestibulum ante ipsum,2073.26
39,9.8,etiam justo etiam pretium iaculis justo,9245.41
40,1.3.9,dui vel sem,111.38
41,0.8.7,dui maecenas tristique est et,5137.38
42,4.7,faucibus orci luctus et ultrices,173.02
43,2.4,tristique in tempus sit amet,7520.88
44,0.4.3,dolor sit amet consectetuer adipiscing elit,4504.79
45,3.9.5,orci nullam molestie nibh in lectus,5191.18
46,0.59,blandit mi in porttitor pede,8773.68
47,0.92,eros viverra eget,5801.47
48,9.7,suspendisse potenti nullam porttitor,9213.15
49,8.6,facilisi cras non velit nec,449.28
50,0.59,id luctus nec,9686.88
