Entry_No,Penalty_ID,V_Reg_No,Date,Payment_No,Cost
2001,17,10295,20-Nov-2009,401,3319.43
2002,8,10757,29-May-1983,402,3075.66
2003,46,10010,16-Apr-1986,403,1855.61
2004,1,10848,29-Jul-1983,404,5308.45
2005,35,10251,04-Sep-1986,405,2031.42
2006,26,10105,25-Nov-2012,,7031.99
2007,18,10263,09-Feb-2003,407,2060.39
2008,32,10912,02-Oct-1977,,3646.60
2009,45,10569,11-May-1991,409,6371.53
2010,39,10134,21-Nov-1970,410,4952.23
2011,12,10523,29-Aug-1980,,5714.43
2012,7,10259,20-Jul-1981,412,5045.14
2013,25,10733,03-Jul-2016,413,3127.96
2014,33,10486,10-Nov-1986,414,7304.01
2015,47,10321,24-Apr-2005,415,8089.71
2016,8,10112,22-Sep-1997,416,3075.66
2017,21,10657,20-Mar-1970,417,4356.49
2018,40,10296,11-May-1983,418,6237.15
2019,44,10637,27-Jun-1975,,9098.64
2020,27,10633,23-Sep-1998,,4596.04
2021,3,10065,19-Jun-1971,421,4257.09
2022,4,10189,15-Apr-1996,422,4209.55
2023,40,10804,14-Jun-1993,423,6237.15
2024,18,10477,01-Aug-2001,424,2060.39
2025,38,10300,21-Aug-1977,425,1443.06
2026,21,10895,01-Jul-1999,426,4356.49
2027,1,10564,29-Aug-1984,427,5308.45
2028,5,10295,13-Jun-1997,428,3396.46
2029,17,10832,20-Oct-1995,429,3319.43
2030,14,10950,26-Dec-1992,430,9335.97
2031,11,10866,24-May-2005,431,7352.25
2032,13,10859,06-Jun-2012,,3456.70
2033,46,10425,11-May-1977,,1855.61
2034,33,10602,01-Oct-2008,,7304.01
2035,30,10054,21-May-2010,435,4845.43
2036,13,10090,14-Oct-1996,436,3456.70
2037,38,10129,27-Apr-1997,437,1443.06
2038,23,10587,24-Oct-2010,438,9379.04
2039,6,10076,04-Nov-2006,,6567.89
2040,34,10282,23-Dec-2004,440,7712.69
2041,20,10383,09-Mar-1972,441,1817.76
2042,37,10233,12-Nov-2006,,8324.43
2043,30,10592,02-Dec-2007,,4845.43
2044,18,10256,03-Feb-2007,444,2060.39
2045,12,10152,02-Nov-2011,445,5714.43
2046,41,10264,16-May-1971,446,6086.96
2047,18,10152,24-Apr-1976,,2060.39
2048,25,10193,01-Jun-1974,448,3127.96
2049,20,10394,06-Jul-1984,449,1817.76
2050,23,10867,24-May-1981,,9379.04
2051,25,10232,31-Jan-1983,451,3127.96
2052,16,10423,27-Oct-2000,452,6056.38
2053,2,10862,08-Mar-2004,,5251.63
2054,3,10706,21-Jun-2014,,4257.09
2055,27,10223,18-Dec-2016,455,4596.04
2056,24,10442,04-Aug-1981,,1745.10
2057,50,10920,09-Apr-1979,457,6722.08
2058,35,10861,24-Jun-2003,458,2031.42
2059,43,10581,18-Jul-1999,459,6059.31
2060,3,10289,16-Oct-2001,460,4257.09
2061,2,10609,18-Nov-2004,461,5251.63
2062,26,10360,05-Apr-1970,462,7031.99
2063,4,10454,15-Jun-1981,,4209.55
2064,10,10111,28-Oct-1993,464,4262.54
2065,46,10268,06-Nov-1999,,1855.61
2066,49,10622,21-May-1984,466,9433.80
2067,40,10739,01-Jun-1995,,6237.15
2068,10,10130,19-May-1975,468,4262.54
2069,16,10841,27-Jun-1973,,6056.38
2070,44,10656,26-May-1982,470,9098.64
2071,25,10316,08-Jan-2010,,3127.96
2072,32,10611,18-Sep-1992,,3646.60
2073,50,10445,29-Sep-1973,473,6722.08
2074,23,10777,30-Mar-2006,474,9379.04
2075,47,10464,25-Feb-1977,475,8089.71
2076,12,10296,02-Mar-2007,476,5714.43
2077,3,10263,20-Feb-1989,477,4257.09
2078,1,10213,02-Apr-1982,,5308.45
2079,4,10723,29-Aug-2011,,4209.55
2080,9,10246,14-Aug-1972,480,6530.28
2081,43,10531,19-Mar-1975,,6059.31
2082,32,10930,18-Jul-2007,482,3646.60
2083,12,10229,09-Jun-1977,483,5714.43
